,PROCESS_ID,DATET_STOP
22208,CP4,2022-10-06 01
22209,CP4,2022-10-06 21
22210,CP4,2022-10-06 23
22211,CP4,2022-10-07 02
22212,CP4,2022-10-07 04
22213,CP4,2022-10-07 06
22217,CP4,2022-10-08 12
22218,CP4,2022-10-08 14
22219,CP4,2022-10-08 16
22220,CP4,2022-10-08 19
22221,CP4,2022-10-08 21
22222,CP4,2022-10-08 23
22223,CP4,2022-10-09 01
22224,CP4,2022-10-09 03
22225,CP4,2022-10-09 05
22226,CP4,2022-10-09 07
22227,CP4,2022-10-09 10
22228,CP4,2022-10-09 12
22229,CP4,2022-10-09 14
22230,CP4,2022-10-09 17
22231,CP4,2022-10-09 20
22232,CP4,2022-10-09 22
22233,CP4,2022-10-10 02
21910,CP4,2022-10-12 21
21911,CP4,2022-10-12 23
21912,CP4,2022-10-13 01
21913,CP4,2022-10-13 04
21914,CP4,2022-10-13 06
4402,CP4,2022-10-14 09
4403,CP4,2022-10-14 14
4404,CP4,2022-10-14 16
4405,CP4,2022-10-14 18
4406,CP4,2022-10-14 20
4407,CP4,2022-10-15 10
4408,CP4,2022-10-15 13
4409,CP4,2022-10-15 15
4410,CP4,2022-10-15 21
4411,CP4,2022-10-16 00
4412,CP4,2022-10-16 03
4413,CP4,2022-10-16 05
4414,CP4,2022-10-16 07
4415,CP4,2022-10-16 13
4416,CP4,2022-10-16 16
4417,CP4,2022-10-16 19
4418,CP4,2022-10-16 21
4419,CP4,2022-10-17 00
4420,CP4,2022-10-17 02
4421,CP4,2022-10-17 05
4422,CP4,2022-10-17 07
4423,CP4,2022-10-17 09
4424,CP4,2022-10-17 12
4425,CP4,2022-10-17 19
4426,CP4,2022-10-17 23
4427,CP4,2022-10-18 01
4428,CP4,2022-10-18 04
22200,CP4,2022-10-18 20
22201,CP4,2022-10-18 21
22203,CP4,2022-10-19 20
4437,CP4,2022-10-20 12
4438,CP4,2022-10-20 14
4439,CP4,2022-10-20 16
4440,CP4,2022-10-20 20
4441,CP4,2022-10-20 22
4442,CP4,2022-10-21 00
4443,CP4,2022-10-21 02
4444,CP4,2022-10-21 16
4445,CP4,2022-10-21 18
4446,CP4,2022-10-21 21
4447,CP4,2022-10-22 00
4448,CP4,2022-10-22 03
4449,CP4,2022-10-22 05
4450,CP4,2022-10-22 08
4451,CP4,2022-10-22 10
4452,CP4,2022-10-22 12
4453,CP4,2022-10-22 14
4454,CP4,2022-10-22 16
4455,CP4,2022-10-22 19
4456,CP4,2022-10-23 01
4457,CP4,2022-10-23 03
4458,CP4,2022-10-23 06
4459,CP4,2022-10-23 09
4460,CP4,2022-10-23 12
4461,CP4,2022-10-23 15
4462,CP4,2022-10-23 17
4463,CP4,2022-10-23 19
4464,CP4,2022-10-23 21
4465,CP4,2022-10-24 00
4466,CP4,2022-10-24 02
4467,CP4,2022-10-24 04
4468,CP4,2022-10-24 06
4469,CP4,2022-10-24 08
4470,CP4,2022-10-24 11
4471,CP4,2022-10-24 13
4472,CP4,2022-10-24 15
4473,CP4,2022-10-24 17
4474,CP4,2022-10-24 20
4475,CP4,2022-10-24 22
4476,CP4,2022-10-25 00
4477,CP4,2022-10-25 02
4478,CP4,2022-10-25 04
4479,CP4,2022-10-25 07
4480,CP4,2022-10-25 09
4481,CP4,2022-10-25 11
4482,CP4,2022-10-25 13
4483,CP4,2022-10-25 15
4484,CP4,2022-10-25 18
4485,CP4,2022-10-25 20
4486,CP4,2022-10-25 22
4487,CP4,2022-10-26 01
4488,CP4,2022-10-26 03
4489,CP4,2022-10-26 05
4490,CP4,2022-10-26 08
4491,CP4,2022-10-26 10
4492,CP4,2022-10-26 12
4493,CP4,2022-10-26 14
4494,CP4,2022-10-26 16
4495,CP4,2022-10-26 19
4496,CP4,2022-10-26 21
4497,CP4,2022-10-26 23
4498,CP4,2022-10-27 01
4499,CP4,2022-10-27 03
4500,CP4,2022-10-27 06
4501,CP4,2022-10-27 08
4502,CP4,2022-10-27 10
4503,CP4,2022-10-27 12
