,PROCESS_ID,DATET_STOP
2658,CP4,2022-02-25 06
2659,CP4,2022-02-25 08
2660,CP4,2022-02-25 10
2661,CP4,2022-02-25 12
2662,CP4,2022-02-25 15
2663,CP4,2022-02-25 17
2664,CP4,2022-02-25 19
2665,CP4,2022-02-25 21
2666,CP4,2022-02-25 23
2667,CP4,2022-02-26 01
2668,CP4,2022-02-26 04
2669,CP4,2022-02-26 06
2670,CP4,2022-02-26 08
2671,CP4,2022-02-26 10
2672,CP4,2022-02-26 12
2673,CP4,2022-02-26 14
2674,CP4,2022-02-26 17
2675,CP4,2022-02-26 19
2676,CP4,2022-02-26 21
2677,CP4,2022-02-26 23
2678,CP4,2022-02-27 01
2679,CP4,2022-02-27 03
18531,CP4,2022-02-27 07
18532,CP4,2022-02-27 09
18533,CP4,2022-02-27 12
18534,CP4,2022-02-27 14
18535,CP4,2022-02-27 16
18536,CP4,2022-02-27 18
18537,CP4,2022-02-27 20
18538,CP4,2022-02-27 22
18539,CP4,2022-02-28 01
18540,CP4,2022-02-28 03
18541,CP4,2022-02-28 05
18542,CP4,2022-02-28 07
18543,CP4,2022-02-28 10
18544,CP4,2022-02-28 12
18545,CP4,2022-02-28 14
18546,CP4,2022-02-28 16
18547,CP4,2022-02-28 19
18548,CP4,2022-02-28 21
18549,CP4,2022-02-28 23
18550,CP4,2022-03-01 01
18551,CP4,2022-03-01 03
18552,CP4,2022-03-01 06
18553,CP4,2022-03-01 08
18554,CP4,2022-03-01 10
18555,CP4,2022-03-01 12
18556,CP4,2022-03-01 15
18557,CP4,2022-03-02 00
18558,CP4,2022-03-02 03
18559,CP4,2022-03-02 05
18560,CP4,2022-03-02 07
18561,CP4,2022-03-02 09
18562,CP4,2022-03-02 11
18563,CP4,2022-03-02 13
18564,CP4,2022-03-02 15
18565,CP4,2022-03-02 18
18566,CP4,2022-03-02 20
18567,CP4,2022-03-02 22
18568,CP4,2022-03-03 00
18569,CP4,2022-03-03 02
18570,CP4,2022-03-03 04
18571,CP4,2022-03-03 06
18572,CP4,2022-03-03 09
18573,CP4,2022-03-03 11
18574,CP4,2022-03-03 13
18575,CP4,2022-03-03 15
18576,CP4,2022-03-03 17
18577,CP4,2022-03-03 19
18578,CP4,2022-03-03 22
18579,CP4,2022-03-04 00
18580,CP4,2022-03-04 03
18581,CP4,2022-03-04 05
18582,CP4,2022-03-04 07
18583,CP4,2022-03-04 09
18584,CP4,2022-03-04 11
18585,CP4,2022-03-04 13
18586,CP4,2022-03-04 16
18587,CP4,2022-03-04 18
18588,CP4,2022-03-04 20
18589,CP4,2022-03-04 22
18590,CP4,2022-03-05 00
18591,CP4,2022-03-05 03
18592,CP4,2022-03-05 05
18593,CP4,2022-03-05 07
18594,CP4,2022-03-05 09
18595,CP4,2022-03-05 11
18596,CP4,2022-03-05 14
18597,CP4,2022-03-05 16
18598,CP4,2022-03-05 18
18599,CP4,2022-03-05 20
18600,CP4,2022-03-06 00
21182,CP4,2022-03-08 01
21183,CP4,2022-03-08 03
21184,CP4,2022-03-08 06
21185,CP4,2022-03-08 08
21186,CP4,2022-03-08 10
21187,CP4,2022-03-08 12
21188,CP4,2022-03-08 14
21189,CP4,2022-03-08 16
21190,CP4,2022-03-08 18
21191,CP4,2022-03-08 21
21192,CP4,2022-03-08 23
21193,CP4,2022-03-09 01
21194,CP4,2022-03-09 03
21195,CP4,2022-03-09 05
21196,CP4,2022-03-09 07
21197,CP4,2022-03-09 23
21198,CP4,2022-03-10 02
21199,CP4,2022-03-10 04
21200,CP4,2022-03-10 06
21201,CP4,2022-03-10 09
21202,CP4,2022-03-10 11
21203,CP4,2022-03-10 13
21204,CP4,2022-03-10 16
21205,CP4,2022-03-10 18
21206,CP4,2022-03-10 20
21207,CP4,2022-03-10 22
21215,CP4,2022-03-11 22
21216,CP4,2022-03-12 02
21217,CP4,2022-03-12 04
21218,CP4,2022-03-12 06
21390,CP4,2022-03-31 04
21391,CP4,2022-03-31 07
21392,CP4,2022-03-31 09
21393,CP4,2022-03-31 11
21394,CP4,2022-03-31 13
21395,CP4,2022-03-31 15
21396,CP4,2022-03-31 18
21397,CP4,2022-03-31 21
21398,CP4,2022-03-31 23
